author ,title ,summary ,images ,source ,date ,link ,document_type ,section_name ,subsection_name ,word_count ,header ,footer
Blank,Rick Santorum is the first candidate this year to visit all of Iowa’s 99 counties but he has yet to catch up in the polls to Donald J. Trump who has rarely visited the state.,Blank,Blank,The New York Times,2015-09-07T00:00:00Z,http://www.nytimes.com/2015/09/07/us/politics/visiting-99-counties-in-iowa-doesnt-get-candidates-as-far-as-it-used-to.html,article,U.S.,Politics,1178,Visiting 99 Counties in Iowa Doesn’t Get Candidates as Far as It Used to,By TRIP GABRIEL
Blank,Lobbing rhetorical stink bombs at a large group of voters is not the normal way to get ahead in U.S. politics. Nor is alienating prominent figures of your own party.,Blank,Blank,AP,2015-09-06T07:52:37Z,http://www.nytimes.com/aponline/2015/09/06/us/politics/ap-us-gop-2016-trump-phenomenon-glance.html,article,U.S.,Politics,632,6 'Trumpisms' That Would Spell Trouble for Anyone but Trump,By THE ASSOCIATED PRESS
Blank,A group of software developers and designers product managers and more have used their prowess to create apps and other tools to help the candidate.,Blank,Blank,The New York Times,2015-09-06T00:00:00Z,http://www.nytimes.com/2015/09/04/us/politics/bernie-sanders-presidential-campaign-tech-supporters.html,article,U.S.,Politics,1209,Legion of Tech Volunteers Lead a Charge for Bernie Sanders,By NICK CORASANITI
Blank,Mr. Colbert (the real one not the character) has spent the summer preparing to assume command of &#8220;The Late Show.&#8221; Will he become the Letterman successor CBS needs him to be?,Blank,Blank,The New York Times,2015-09-06T00:00:00Z,http://www.nytimes.com/2015/09/06/arts/television/stephen-colbert-the-late-night-hope.html,article,Arts,Television,2883,Stephen Colbert the Late Night Hope,By DAVE ITZKOFF
Blank,G.O.P. presidential candidates are struggling to craft a foreign policy that can please the gung-ho and win in 2016 — without overpromising military force.,Blank,Blank,The New York Times,2015-09-06T00:00:00Z,http://www.nytimes.com/2015/09/06/magazine/between-iraq-and-a-hawk-base.html,article,Magazine,Blank,4413,Between Iraq and a Hawk Base,By ROBERT DRAPER
Blank,Money raised in political campaigns sends many signals. Here’s some advice on how to read them.,Blank,Blank,The New York Times,2015-09-04T00:00:00Z,http://www.nytimes.com/2015/09/04/upshot/what-fund-raising-would-reveal-about-trumps-campaign.html,article,The Upshot,Blank,931,Why Fund-Raising Is Important Even if You Are Trump,By LYNN VAVRECK
Blank,Is it a savvy strategy or a campaign gimmick? Many presidential candidates see a path to success in Iowa by visiting all 99 counties in the leadoff caucus state.,Blank,Blank,AP,2015-09-03T03:13:40Z,http://www.nytimes.com/aponline/2015/09/03/us/politics/ap-us-gop-2016-iowa-99-counties.html,article,U.S.,Politics,670,Candidates Seeking Iowa Boost Look to 99-County Tour,By THE ASSOCIATED PRESS
Blank,Sifting through the candidate’s sometimes contradictory statements for a sense of what he might actually propose.,The Upshot; Republican presidential hopeful Donald Trump who is expected to release his tax plan has dropped hints indicating what voters might expect; eight anticipated points noted.,Blank,The New York Times,2015-09-03T00:00:00Z,http://www.nytimes.com/2015/09/03/upshot/eight-things-to-watch-for-in-donald-trumps-tax-plan.html,article,The Upshot,Blank,1620,Eight Things to Watch For in Donald Trump’s Tax Plan,By JOSH BARRO
Blank,A super PAC backing Wisconsin Gov. Scott Walker's run for the White House announced a $9.25 million ad buy Wednesday for three early voting states expanding on a $7 million television ad campaign that starts in Iowa next week.,Blank,Blank,AP,2015-09-02T21:01:54Z,http://www.nytimes.com/aponline/2015/09/02/us/politics/ap-us-gop-2016-walker-super-pac.html,article,U.S.,Politics,367,Super PAC Backing Scott Walker Announces $9 Million Ad Buy,By THE ASSOCIATED PRESS
Blank,President Obama may be in the wilds of Alaska but he is on the verge of a major foreign policy victory back home: The Senate is a vote short of making it impossible for opponents to block the nuclear deal with Iran.,President Obama may be in the wilds of Alaska but he is on the verge of a major foreign policy victory back home: The Senate is a vote short of making it impossible for opponents to block the nuclear deal with Iran.,Blank,The New York Times,2015-09-02T06:54:58Z,http://www.nytimes.com/politics/first-draft/2015/09/02/today-in-politics-obama-has-one-vote-left-to-court-on-iran-deal/,blogpost,U.S.,Politics,1108,Today in Politics: Obama Has One Vote Left to Court on Iran Deal,By THE NEW YORK TIMES
